"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2019年07月09日","21,565.15","21,598.15","21,687.29","21,508.22","555.54M","0.14%"
"2019年07月08日","21,534.35","21,665.79","21,672.65","21,499.57","534.58M","-0.98%"
"2019年07月05日","21,746.38","21,703.61","21,746.38","21,647.73","461.63M","0.20%"
"2019年07月04日","21,702.45","21,740.93","21,755.63","21,672.50","389.85M","0.30%"
"2019年07月03日","21,638.16","21,684.07","21,708.72","21,566.65","567.02M","-0.53%"
"2019年07月02日","21,754.27","21,699.43","21,784.22","21,697.31","564.11M","0.11%"
"2019年07月01日","21,729.97","21,566.27","21,758.34","21,559.17","689.82M","2.13%"
"2019年06月28日","21,275.92","21,282.22","21,324.93","21,199.85","639.83M","-0.29%"
"2019年06月27日","21,338.17","21,156.88","21,338.17","21,123.97","632.28M","1.19%"
"2019年06月26日","21,086.59","21,067.68","21,129.64","21,035.84","519.06M","-0.51%"
"2019年06月25日","21,193.81","21,238.07","21,313.77","21,114.47","556.11M","-0.43%"
"2019年06月24日","21,285.99","21,223.56","21,317.86","21,185.67","445.42M","0.13%"
"2019年06月21日","21,258.64","21,487.67","21,497.82","21,221.70","918.21M","-0.95%"
"2019年06月20日","21,462.86","21,417.74","21,491.39","21,377.27","573.61M","0.60%"
"2019年06月19日","21,333.87","21,223.17","21,358.72","21,213.43","660.88M","1.72%"
"2019年06月18日","20,972.71","21,111.77","21,153.65","20,924.19","562.67M","-0.72%"
"2019年06月17日","21,124.00","21,094.96","21,185.25","21,044.62","505.82M","0.03%"
"2019年06月14日","21,116.89","21,049.41","21,119.73","20,971.18","623.44M","0.40%"
"2019年06月13日","21,032.00","21,040.91","21,111.23","20,932.13","677.08M","-0.46%"
"2019年06月12日","21,129.72","21,130.39","21,259.70","21,118.75","582.36M","-0.35%"
"2019年06月11日","21,204.28","21,099.54","21,227.18","21,066.62","536.72M","0.33%"
"2019年06月10日","21,134.42","21,095.40","21,166.12","21,077.95","599.68M","1.20%"
"2019年06月07日","20,884.71","20,859.78","20,907.77","20,816.58","522.70M","0.53%"
"2019年06月06日","20,774.04","20,745.84","20,842.28","20,745.84","614.23M","-0.01%"
"2019年06月05日","20,776.10","20,667.89","20,800.64","20,646.15","744.71M","1.80%"
"2019年06月04日","20,408.54","20,435.86","20,464.57","20,289.64","713.00M","-0.01%"
"2019年06月03日","20,410.88","20,327.87","20,438.03","20,305.74","695.25M","-0.92%"
"2019年05月31日","20,601.19","20,785.21","20,823.10","20,581.58","814.51M","-1.63%"
"2019年05月30日","20,942.53","20,881.50","20,942.53","20,809.29","604.99M","-0.29%"
"2019年05月29日","21,003.37","21,055.42","21,071.73","20,884.61","721.55M","-1.21%"
"2019年05月28日","21,260.14","21,187.17","21,297.70","21,177.27","1.02B","0.37%"
"2019年05月27日","21,182.58","21,148.46","21,232.38","21,113.76","429.01M","0.31%"
"2019年05月24日","21,117.22","20,980.79","21,117.22","20,922.00","698.31M","-0.16%"
"2019年05月23日","21,151.14","21,180.24","21,209.56","21,072.72","658.64M","-0.62%"
"2019年05月22日","21,283.37","21,373.52","21,404.54","21,266.98","665.38M","0.05%"
"2019年05月21日","21,272.45","21,211.26","21,318.80","21,160.43","723.21M","-0.14%"
"2019年05月20日","21,301.73","21,305.97","21,430.06","21,282.65","671.33M","0.24%"
"2019年05月17日","21,250.09","21,246.86","21,398.85","21,199.98","780.73M","0.89%"
"2019年05月16日","21,062.98","21,153.20","21,153.20","20,951.67","849.62M","-0.59%"
"2019年05月15日","21,188.56","21,112.85","21,191.53","20,968.08","866.63M","0.58%"
"2019年05月14日","21,067.23","20,870.77","21,077.48","20,751.45","929.62M","-0.59%"
"2019年05月13日","21,191.28","21,180.74","21,277.66","21,127.93","768.21M","-0.72%"
"2019年05月10日","21,344.92","21,431.81","21,584.09","21,175.33","1.02B","-0.27%"
"2019年05月09日","21,402.13","21,492.91","21,559.76","21,315.07","999.11M","-0.93%"
"2019年05月08日","21,602.59","21,628.04","21,639.12","21,514.85","884.46M","-1.46%"
"2019年05月07日","21,923.72","22,184.40","22,190.49","21,875.11","934.91M","-1.51%"
"2019年04月26日","22,258.73","22,167.48","22,270.29","22,073.10","740.80M","-0.22%"
"2019年04月25日","22,307.58","22,183.32","22,334.69","22,155.23","652.75M","0.48%"
"2019年04月24日","22,200.00","22,356.83","22,362.92","22,125.48","700.36M","-0.27%"
"2019年04月23日","22,259.74","22,241.74","22,268.37","22,119.94","535.79M","0.19%"
"2019年04月22日","22,217.90","22,188.62","22,280.19","22,099.38","441.69M","0.08%"
"2019年04月19日","22,200.56","22,238.07","22,250.37","22,162.23","498.21M","0.50%"
"2019年04月18日","22,090.12","22,274.13","22,305.63","22,058.39","693.55M","-0.84%"
"2019年04月17日","22,277.97","22,236.41","22,345.19","22,185.87","776.60M","0.25%"
"2019年04月16日","22,221.66","22,108.15","22,261.33","22,095.32","590.95M","0.24%"
"2019年04月15日","22,169.11","22,122.97","22,211.03","22,102.93","681.43M","1.37%"
"2019年04月12日","21,870.56","21,782.35","21,878.78","21,698.71","634.65M","0.73%"
"2019年04月11日","21,711.38","21,662.65","21,721.42","21,627.87","630.65M","0.11%"
"2019年04月10日","21,687.57","21,579.68","21,687.57","21,571.67","605.02M","-0.53%"
"2019年04月09日","21,802.59","21,750.29","21,811.88","21,698.42","559.51M","0.19%"
"2019年04月08日","21,761.65","21,900.55","21,900.55","21,740.53","563.26M","-0.21%"
"2019年04月05日","21,807.50","21,743.14","21,839.18","21,731.34","602.89M","0.38%"
"2019年04月04日","21,724.95","21,724.69","21,787.60","21,662.90","596.94M","0.05%"
"2019年04月03日","21,713.21","21,563.64","21,722.72","21,489.95","705.68M","0.97%"
"2019年04月02日","21,505.31","21,744.64","21,744.64","21,490.56","732.24M","-0.02%"
"2019年04月01日","21,509.03","21,500.89","21,682.94","21,471.12","798.21M","1.43%"
"2019年03月29日","21,205.81","21,228.51","21,267.25","21,149.42","635.38M","0.82%"
"2019年03月28日","21,033.76","21,191.32","21,191.32","20,974.19","733.10M","-1.61%"
"2019年03月27日","21,378.73","21,353.61","21,388.59","21,242.52","782.56M","-0.23%"
"2019年03月26日","21,428.39","21,174.34","21,460.99","21,174.34","1.04B","2.15%"
"2019年03月25日","20,977.11","21,267.41","21,275.43","20,911.57","801.45M","-3.01%"
"2019年03月22日","21,627.34","21,713.26","21,713.26","21,542.03","813.48M","0.09%"
"2019年03月20日","21,608.92","21,548.65","21,614.17","21,499.16","673.20M","0.20%"
"2019年03月19日","21,566.85","21,558.43","21,585.55","21,425.79","617.70M","-0.08%"
"2019年03月18日","21,584.50","21,576.36","21,612.67","21,500.32","568.96M","0.62%"
"2019年03月15日","21,450.85","21,376.73","21,521.68","21,374.85","857.90M","0.77%"
"2019年03月14日","21,287.02","21,474.58","21,522.75","21,287.02","660.94M","-0.02%"
"2019年03月13日","21,290.24","21,425.77","21,474.17","21,198.99","681.77M","-0.99%"
"2019年03月12日","21,503.69","21,361.61","21,568.48","21,348.81","698.57M","1.79%"
"2019年03月11日","21,125.09","21,062.75","21,145.94","20,938.00","573.25M","0.47%"
"2019年03月08日","21,025.56","21,339.17","21,359.32","20,993.07","1.03B","-2.01%"
"2019年03月07日","21,456.01","21,456.88","21,472.16","21,402.12","774.96M","-0.65%"
"2019年03月06日","21,596.81","21,659.03","21,684.60","21,550.45","588.58M","-0.60%"
"2019年03月05日","21,726.28","21,712.80","21,798.38","21,659.04","610.39M","-0.44%"
"2019年03月04日","21,822.04","21,812.81","21,860.39","21,740.92","609.23M","1.02%"
"2019年03月01日","21,602.69","21,490.02","21,641.58","21,490.02","644.74M","1.02%"
"2019年02月28日","21,385.16","21,536.55","21,536.55","21,364.09","737.24M","-0.79%"
"2019年02月27日","21,556.51","21,504.61","21,578.81","21,492.65","698.29M","0.50%"
"2019年02月26日","21,449.39","21,556.02","21,610.88","21,405.84","580.57M","-0.37%"
"2019年02月25日","21,528.23","21,567.66","21,590.03","21,505.07","533.64M","0.48%"
"2019年02月22日","21,425.51","21,376.36","21,451.23","21,348.67","539.89M","-0.18%"
"2019年02月21日","21,464.23","21,422.31","21,553.35","21,318.74","704.96M","0.15%"
"2019年02月20日","21,431.49","21,346.04","21,494.85","21,315.39","615.07M","0.60%"
"2019年02月19日","21,302.65","21,256.58","21,344.17","21,217.16","552.65M","0.10%"
"2019年02月18日","21,281.85","21,217.32","21,306.36","21,189.97","636.94M","1.82%"
"2019年02月15日","20,900.63","21,051.51","21,051.51","20,853.33","676.14M","-1.13%"
"2019年02月14日","21,139.71","21,147.89","21,235.62","21,102.16","665.20M","-0.02%"
"2019年02月13日","21,144.48","21,029.93","21,213.74","20,992.88","810.27M","1.34%"
"2019年02月12日","20,864.21","20,442.55","20,885.88","20,428.57","866.91M","2.61%"
"2019年02月08日","20,333.17","20,510.50","20,562.39","20,315.31","888.59M","-2.01%"
"2019年02月07日","20,751.28","20,812.22","20,844.77","20,665.51","727.74M","-0.59%"
"2019年02月06日","20,874.06","20,928.87","20,971.66","20,860.99","710.05M","0.14%"
"2019年02月05日","20,844.45","20,960.47","20,981.23","20,823.18","674.93M","-0.19%"
"2019年02月04日","20,883.77","20,831.90","20,922.58","20,823.68","686.88M","0.46%"
"2019年02月01日","20,788.39","20,797.03","20,929.63","20,741.98","847.46M","0.07%"
"2019年01月31日","20,773.49","20,832.91","20,869.42","20,682.91","779.60M","1.06%"
"2019年01月30日","20,556.54","20,701.62","20,706.27","20,527.53","743.38M","-0.52%"
"2019年01月29日","20,664.64","20,555.44","20,673.66","20,406.22","650.25M","0.08%"
"2019年01月28日","20,649.00","20,746.29","20,759.48","20,624.55","585.54M","-0.60%"
"2019年01月25日","20,773.56","20,598.64","20,844.31","20,598.64","705.06M","0.97%"
"2019年01月24日","20,574.63","20,506.24","20,620.72","20,467.59","633.32M","-0.09%"
"2019年01月23日","20,593.72","20,453.44","20,686.29","20,438.22","612.83M","-0.14%"
"2019年01月22日","20,622.91","20,770.06","20,805.93","20,558.30","588.60M","-0.47%"
"2019年01月21日","20,719.33","20,848.38","20,892.68","20,678.26","630.65M","0.26%"
"2019年01月18日","20,666.07","20,472.81","20,682.12","20,454.13","666.63M","1.29%"
"2019年01月17日","20,402.27","20,544.23","20,571.75","20,342.46","656.18M","-0.20%"
"2019年01月16日","20,442.75","20,575.72","20,580.25","20,323.32","716.84M","-0.55%"
"2019年01月15日","20,555.29","20,264.82","20,571.28","20,204.43","806.94M","0.96%"
"2019年01月11日","20,359.70","20,296.45","20,389.89","20,294.74","801.21M","0.97%"
"2019年01月10日","20,163.80","20,270.88","20,345.92","20,101.93","759.63M","-1.29%"
"2019年01月09日","20,427.06","20,366.30","20,494.35","20,331.20","750.92M","1.10%"
"2019年01月08日","20,204.04","20,224.67","20,347.92","20,106.36","891.35M","0.82%"
"2019年01月07日","20,038.97","19,944.61","20,266.22","19,920.80","840.26M","2.44%"
"2019年01月04日","19,561.96","19,655.13","19,692.58","19,241.37","943.71M","-2.26%"
